1	0.0998334
2	0.198669
4	0.389418
5	0.479426
6	0.564642
8	0.717356
9	0.783327
10	0.841471
11	0.891207
12	0.932039
13	0.963558
14	0.98545
15	0.997495
18	0.973848
19	0.9463
20	0.909297
21	0.863209
22	0.808496
23	0.745705
24	0.675463
25	0.598472
26	0.515501
27	0.42738
28	0.334988
29	0.239249
30	0.14112
31	0.0415807
32	-0.0583741
33	-0.157746
35	-0.350783
36	-0.44252
37	-0.529836
38	-0.611858
39	-0.687766
40	-0.756802
41	-0.818277
42	-0.871576
44	-0.9516019999999999
45	-0.97753
47	-0.999923
49	-0.982453
50	-0.958924
52	-0.883455
53	-0.832267
54	-0.772764
57	-0.550686
58	-0.464602
59	-0.373877
60	-0.279415
61	-0.182163
63	0.0168139
64	0.116549
65	0.21512
66	0.311541
68	0.494113
70	0.656987
71	0.728969
73	0.850437
74	0.898708
77	0.988168
78	0.998543
79	0.998941
80	0.989358
81	0.96989
82	0.940731
83	0.902172
84	0.854599
85	0.7984869999999999
86	0.734397
87	0.662969
88	0.584917
89	0.501021
90	0.412118
92	0.22289
93	0.124454
94	0.0247754
95	-0.0751511
96	-0.174327
97	-0.271761
100	-0.544021
